index,name,bf_name,similarity
499,d vekic,vekic,83.33333333333334
499,d vekic,dona vekic,82.35294117647058
503,bojana jovanovski petrovic,bojana jovanovski petro,93.87755102040816
503,b jovanovski petrovic,bojana jovanovski petro,81.81818181818181
505,g dabrowski,dabrowski,90.0
506,a gautier,gautier,87.5
518,d bar,d bao,80.0
523,e song,m song,83.33333333333334
523,e song,g song,83.33333333333334
523,e song,e dong,83.33333333333334
534,c hemery,c henry,80.0
537,d katic,v katic,85.71428571428572
538,s boltz,boltz,83.33333333333334
557,pearce charlotte,r charlotte,81.4814814814815
564,a kapas,a kaplja,80.0
574,p torebko,torebko,87.5
583,frances tiafoe,francis tiafoe,92.85714285714286
587,j pla malfeito,j malfeito,83.33333333333334
591,yan wang,yafain wang,84.21052631578947
595,valentini grammatikopoulou,valentini grammatikopou,93.87755102040816
601,y wickmayer,wickmayer y,81.81818181818181
601,wickmayer yanina,wickmayer y,81.4814814814815
603,ji sung nam,jisung nam,95.23809523809523
609,pace ricardo rodriguez,ricardo rodriguez,87.17948717948718
609,ricardo rodriguez pace,ricardo rodriguez pac,97.67441860465115
609,ricardo rodriguez pace,ricardo rodriguez,87.17948717948718
609,r rodriguez pace,ricardo rodriguez pac,81.08108108108108
609,r rodriguez pace,c rodriguez sanchez,80.0
615,roemer charlotte,r charlotte,81.4814814814815
628,u ignatik,a ignatik,88.88888888888889
635,p rondoni,s rondon,82.35294117647058
651,s napolitano,napolitano,90.9090909090909
654,e corrie,e torre,80.0
668,eva siska,eva siskova,90.0
670,a amos,a ramos,92.3076923076923
673,d kuzmanov,i kuzmanov,90.0
673,d kuzmanov,i kuzmanova,85.71428571428572
681,ching wen hsu,chuan en hsu,80.0
688,a ward,a wardy,92.3076923076923
688,a ward,r ward,83.33333333333334
691,irina khromacheva,irina khomacheva,96.96969696969697
691,i khromacheva,irina khomacheva,82.75862068965517
693,pattinama kerkhove lesley,pattinama kerkhove,83.72093023255813
693,lesley pattinama kerkhove,lesley pattinama kerkho,95.83333333333334
693,lesley pattinama kerkhove,lesley pattinama ker,88.88888888888889
693,lesley pattinama kerkhove,pattinama kerkhove,83.72093023255813
693,l pattinama kerkhove,pattinama kerkhove,94.73684210526316
693,l pattinama kerkhove,lesley pattinama kerkho,83.72093023255813
694,mandy minella,mand minella,96.0
694,m minella,mand minella,85.71428571428572
700,b botusharova,n botusharova,92.3076923076923
729,h tan,h tran,90.9090909090909
729,h tan,h tang,90.9090909090909
729,h tan,hc tang,83.33333333333334
729,h tan,l tan,80.0
736,j ren,jia ren,83.33333333333334
736,j ren,j ore,80.0
741,papa spencer,a spencer,85.71428571428572
741,s papa,s pipa,83.33333333333334
741,s papa,papa,80.0
744,p sakamoto,m sakamoto,90.0
746,markus eriksson,mag eriksson,81.4814814814815
754,l vanni,l ann,83.33333333333334
760,veronika kudermetova,veronika kuderemtova,95.0
762,o dodin,dodin,83.33333333333334
764,v muntean,d munteanu,84.21052631578947
769,m foster,z foster,87.5
769,m foster,m fonte,80.0
771,m osaka,m sakar,85.71428571428572
771,m osaka,y kosaka,80.0
771,m osaka,l kosaka,80.0
773,k von deichmann,k deichmann,84.61538461538461
774,y mertens,mertens,87.5
775,m georges,m goerges,88.88888888888889
775,m georges,b george,82.35294117647058
778,ekaterina alexandrova,ekat alexandrova,86.48648648648648
783,m zakarlyuk,m zakarliuk,90.9090909090909
784,cristiana ferrando,christina ferrando,94.44444444444444
784,c ferrando,c ferrnando,95.23809523809523
798,b bonzi,bonzi,83.33333333333334
807,guillermo lorraine,guillermo arrambide,81.08108108108108
807,l guillermo,lm guillermo,95.65217391304348
809,a biskic,biskic,85.71428571428572
811,l caruana,l aranda,82.35294117647058
813,caroline dolehide,caroline dolheide,94.11764705882352
814,li ann,l ann,90.9090909090909
816,g ce,g noce,80.0
827,j jebawy,jebawy,85.71428571428572
832,danielle collins,danielle rose collins,86.48648648648648
832,d collins,d r collins,90.0
832,d collins,d lins,80.0
833,k boulter,k boulder,88.88888888888889
841,e bogdan,b bogdan,87.5
842,m cuevas,cuevas,85.71428571428572
846,m benoit,m bueno,80.0
847,yafan wang,yafain wang,95.23809523809523
848,b santanna,bruno sant anna,80.0
848,bruno santanna,bruno sant anna,96.55172413793103
850,s agabigun,agabigun,88.88888888888889
854,olaso guillermo,lm guillermo,81.4814814814815
855,e mertens,mertens,87.5
866,e benchetrit,benchetrit,90.9090909090909
875,v sachko,vi sachko,94.11764705882352
875,v sachko,sachko,85.71428571428572
880,m vondrousova,m vondrouova,96.0
881,j rodionov,rodionov,88.88888888888889
881,j rodionov,ar rodionova,81.81818181818181
885,a sadikovic,sadikovic,90.0
887,miriam bianca bulgaru,miriam bulgaru,80.0
889,juan manuel benitez chavarriaga,juan manuel benitez cha,85.18518518518519
889,juan manuel benitez chavarriaga,jm benitez chavarriaga,83.01886792452831
889,juan manuel benitez chavarriaga,j benitez chavarriaga,80.76923076923077
890,inigo cervantes,inigo cervantes huegun,81.08108108108108
893,liudmila samsonova,ludmilla samsonova,94.44444444444444
898,a vukic,vukic,83.33333333333334
900,felipe martinez sarrasague,felipe martinez sarrasa,93.87755102040816
900,felipe martinez sarrasague,fe martinez sarrasague,91.66666666666666
900,f martinez sarrasague,fe martinez sarrasague,97.67441860465115
900,f martinez sarrasague,felipe martinez sarrasa,81.81818181818181
904,m sherif,l sherif,87.5
904,m sherif,maiar sherif,80.0
904,mayar sherif,maiar sherif,91.66666666666666
908,rebeka masarova,rebeka masaro,92.85714285714286
909,daniel elahi galan,daniel galan,80.0
913,r bonadio,bonadio,87.5
915,elina vikhryanova,e vikhrianova,80.0
916,f di sarra,f sarra,82.35294117647058
917,jodie burrage,jodie anna burrage,83.87096774193549
917,j burrage,ja burrage,94.73684210526316
917,j burrage,j a burrage,90.0
917,j burrage,a j bourage,80.0
924,andrea pellegrino,andrea pellegrin,96.96969696969697
924,a pellegrino,pellegrino,90.9090909090909
926,christian harrison,christian garin,84.84848484848484
927,m mcdonald,j macdonald,85.71428571428572
928,o gavrila,d gavrilova,80.0
936,d nur haliza,deria nur haliza,85.71428571428572
940,a chanta,a antal,80.0
951,li wie tan,l w tan,82.35294117647058
951,li wie tan,le wei tan,80.0
952,suthinan tanthaseraneewat,suthinan tanthaseraneew,95.83333333333334
954,n khunjan,n khun,80.0
959,roberto carballes baena,roberto carballes ba,93.02325581395348
959,r carballes baena,carballes baena,93.75
964,antoine hoang,antonie hoang,92.3076923076923
968,f sun,f xun,80.0
972,mukund sasikumar,m sasikumar,81.4814814814815
972,sasikumar mukund,sasi kumar mukund,96.96969696969697
986,l bahodyrova,l bakhodirova,88.0
996,k younes,k young,80.0
998,k karpyuk,k karpiuk,88.88888888888889
1003,nadiya kolb,nadiia kolb,90.9090909090909
1006,daniil savelev,daniil madvedev,82.75862068965517
1011,a ragazzi,agazzi,80.0
1015,bursa anastasia,s anastasia,84.61538461538461
1022,jovana kenic,jovana jaksic,80.0
1026,denys klok,denis klok,90.0
1027,ricardo david mayagoitia,ricardo david mayagoiti,97.87234042553192
1035,k numajiri,numajiri,88.88888888888889
1041,andrey chepelev,and chepelev,88.88888888888889
1080,gabriela nicole tatarus,gabriela tatarus,82.05128205128204
1088,madison bourguignon,n bourguignon,81.25
1088,m bourguignon,n bourguignon,92.3076923076923
1094,m toma,v toma,83.33333333333334
1100,viktoria surova,viktoria kuzmova,83.87096774193549
1106,t munteanu,d munteanu,90.0
1119,d morogiannis,dimitri morogiannis,81.25
1137,albu daniel,a daniell,80.0
1171,l cloes,l flores,80.0
1172,pedro iamachkine,petr iamachkine,90.32258064516128
1172,p iamachkine,petr iamachkine,88.88888888888889
1177,gabriel pascotto tumasonis,gabriel pascotto tumaso,93.87755102040816
1187,n zeballos,zeballos,88.88888888888889
1187,noelia zeballos,noelia zeballos melgar,81.08108108108108
1190,marta huqi gonzalez encinas,m gonzalez encinas,80.0
1195,r de la torre sanchez,rocio de la torre sanch,86.36363636363636
1195,rocio de la torre sanchez,rocio de la torre sanch,95.83333333333334
1198,m bernard,jo bernard,84.21052631578947
1207,erwin troebinger,erwin trobinger,96.7741935483871
1209,e dalla valle,dalla valle,91.66666666666666
1214,daniel trcka,daniel dutra,83.33333333333334
1227,b dhoe,dhoe,80.0
1234,a alhogbani,a alhaqbani,81.81818181818181
1243,clara burel,clara burrel,95.65217391304348
1248,p sousa,sousa,83.33333333333334
1253,hamou maxime,m maxime,80.0
1253,m hamou,hamou,83.33333333333334
1262,a delmas,l elmas,80.0
1266,m almeida,j almeida,88.88888888888889
1292,yu ting hsieh,shu ying hsieh,81.4814814814815
1296,sebastiano mahoro zorzi,sebastiano mahora zorzi,95.65217391304348
1301,m mansilla diez,m mansilla,80.0
1306,jose fco vidal azorin,j f vidal azorin,86.48648648648648
1306,jose fco vidal azorin,j vidal azorin,80.0
1307,andrey yakovlev,andrei iakovlev,86.66666666666667
1316,jia jing lu,jia jung lu,90.9090909090909
1320,nicolas alvarez,nicolas varona alvarez,81.08108108108108
1320,n alvarez,e alvarez,88.88888888888889
1322,javier aviles,jamie davies,80.0
1324,perez santiago,r santiago,83.33333333333334
1327,alvaro gonzalez,salcaraz gonzalez,81.25
1335,fanny stollar,fanni stollar,92.3076923076923
1335,f stollar,fanni stollar,81.81818181818181
1336,lao danielle,a daniell,85.71428571428572
